GEOID,GEOG,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,UND5,A5_19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,median_rent
60,Bridgeport,33185.983606557376,34.0,21.0,3.0,40.0,2.0,5.0,14.0,27.0,21.0,18.0,11.0,3.0,2.0,1231.0
61,New City,40970.590361445786,10.0,67.0,20.0,2.0,1.0,6.0,23.0,21.0,22.0,15.0,8.0,4.0,1.0,943.0
62,West Elsdon,18366,14.0,81.0,1.0,4.0,0.0,6.0,22.0,21.0,20.0,17.0,7.0,5.0,1.0,1112.0
63,Gage Park,34788,3.0,92.0,4.0,1.0,0.0,6.0,23.0,24.0,19.0,15.0,7.0,4.0,1.0,973.0
64,Clearing,24728,36.0,60.0,2.0,1.0,1.0,7.0,20.0,21.0,23.0,17.0,7.0,3.0,2.0,1162.0
65,West Lawn,32594,12.0,84.0,3.0,1.0,0.0,8.0,22.0,21.0,21.0,16.0,5.0,5.0,2.0,1059.0
66,Chicago Lawn,52464,2.0,58.0,37.0,0.0,2.0,8.0,20.0,24.0,19.0,15.0,7.0,6.0,1.0,1009.0
67,West Englewood,25772,1.0,17.0,80.0,0.0,2.0,7.0,17.0,22.0,16.0,19.0,10.0,7.0,2.0,1062.0
68,Englewood,21378,1.0,5.0,90.0,1.0,2.0,6.0,22.0,21.0,15.0,21.0,8.0,5.0,3.0,976.0
69,Greater Grand Crossing,28991,1.0,3.0,95.0,0.0,2.0,7.0,19.0,19.0,18.0,20.0,10.0,4.0,3.0,1050.0
70,Ashburn,42745,9.0,46.0,42.0,1.0,2.0,4.0,23.0,20.0,20.0,19.0,8.0,4.0,2.0,1310.0
71,Auburn Gresham,46468,1.0,3.0,93.0,1.0,2.0,7.0,19.0,20.0,17.0,19.0,10.0,7.0,2.0,999.0
72,Beverly,19781,56.0,7.0,33.0,1.0,4.0,6.0,18.0,15.0,17.0,24.0,13.0,6.0,1.0,1065.0
73,Washington Heights,26456,1.0,1.0,96.0,0.0,1.0,5.0,19.0,18.0,18.0,20.0,9.0,6.0,5.0,1131.0
74,Mount Greenwood,19121,84.0,10.0,2.0,1.0,4.0,7.0,23.0,15.0,21.0,21.0,8.0,3.0,2.0,1375.0
75,Morgan Park,20723.917383820997,30.0,4.0,61.0,1.0,4.0,6.0,19.0,15.0,20.0,19.0,10.0,7.0,4.0,1434.0
76,O'Hare,13996.987158908507,62.0,13.0,7.0,15.0,4.0,7.0,11.0,29.0,21.0,18.0,9.0,3.0,2.0,1375.0
37,Fuller Park,2219.409638554217,3.0,11.0,83.0,1.0,2.0,5.0,22.0,13.0,13.0,18.0,24.0,5.0,0.0,529.0
